Id,Comment
@user-sz1qt5ok6x,어떤 사람은 한 순간의 추억을 가지고 평생을 산다는 말이 있는데  내가 저 공연에 있다면  충분히 가능할 것 같다
@witymeo3684,omg...엄청난 무대다 웅장하고 순수함의 거대한 에너지가 느껴진다
@gsnaga33,아무리 좋아하는 노래도 수백 수천 번 듣다보면 질리는데 이 노래는 도무지 질리지가 않는다.. 언제나 용기가 필요할 때마다 듣고 또 듣는 노래
@declan5383,그들은 입으로 뱉는걸 2개나 만들었다. 노래와 음식
@thingsthatfluo,"3:14 저 수많은 사람들, 게다가 자신을 보기 위해 여기까지 와주어 자신을 사랑해주는 사람들이 자신이 만든 노래를 따라부르고 환호하는 것을 관중들의 한 가운데 서서 듣고있는 느낌은 어떨까. 정말 말로 설명할 순 없겠지."
@lovelysseoji,이 노래는 진짜 10년째 들어도 안 질리네. 08학번인데 08년에 나온 노래였구나 뭔가 도전할 때 자신감을 가지게 해주는 그런 느낌이 있어서 종종 찾는 노래
@bbackgga100,듣고있는 모두가 승자 입니다. 인파속에서 나를 증명 할수있는 목소리!!  오오오오오~~
@user-le7de1uk7n,03:12  워오워오어~~워오워어어오워~~~워오워오어~~워오워어어오워~~~ ㄹㅇ 이 노래 하이라이트이자 라이브가서 떼창하고싶은 부분..라이브가서 떼창하면 얼마나 소름돋을까 상상만으로 벌써 싸보렸네..
@user-nk7tt9yd1o,북 박자 한번도 안틀리고 일정하게 진짜 잘 친다bbbbb
@user-cu9qj9yh3f,전율이 이네요.대단한 흡입력이 있는 노래네요.집중안할수가 없는 명곡임.
@rich725644,늘 봐도  멋지다  ~
@yeop97,1:04 옛날 하이마트 앞에 있던 큰 공기 인형
@user-og5hj7xi5i,합격하면 여기로 오기로 했었지 Here I am.
@sugandolligy,진짜 너무 좋다
@user-lq3zm3gl3o,새해니까 들으러 와줘야지
@tearsyunaify,2:11 북칠때 손넣는거 리허설에 없었나보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 당황한 윌ㅋㅋㅋㅋㅋㅋㅋ
@spooon90,이노래는 북을 뿌실듯이 치다가 중반부부터 죽을듯이 종을 치는형이 하나의 킬포이다
@user-io9jq6ci8d,콜드플레이 음악에  경의를  표합니다~!
@user-fg9it2lw2n,아 진짜 그때 그 감성...그 팝송....ㅠㅠㅠ
@user-jt4br2xk7e,내일 수능이다 이 노래 듣고 잔다 만점 받을 것 같은 기분이다 수능 까짓거 내가 조진다
@user-yo4fh1id5r,똥 먹어본 사람만 좋아요 눌러
@yozememak,멋진 곡 잘 들었습니다
@user-oq8ut4yc5t,나의 맑은공기입니다
@user-hi5rp1ns6m,양파 사고 집으로 들어오면서 이 노래 듣는데 양파 생으로 다 씹어먹을 수 있을 것 같다
@so_ec6228,이 노래 음원으로 못듣겠음 관중들의 환호와 떼창이 없어서
@user-ol8xu8by5o,작곡도 가사도 미쳤다 정말 가슴이 웅장해진다
@0820_1k,언제 들어도 좋다. 아직도 찾아 듣게 됨
@user-tx1lb7tu3e,노래를 부르는 사람이건 음악을 연주하는 사람들 관객 모두 다 자신감에 벅차 들뜨고 쿵쾅거리는 느낌으로 노래를 부르고 연주하고 즐겼을듯 개멋져
@user-vm5yz6wq1g,솔직히 저 북치는 형이 진짜 대단하다.. 저렇게 노래한곡을 박자 안밀리고 일정하게 치기 진짜 어려운데
@seungheepyo1456,정말 대단하고 존경해 자신의 성과를 저렇게 다른 사람들에게 내놀 수 있다는 게
@user-zl2ks4dd9e,너무 좋습니다.
@ono5081,2:10 ㅈㄴ힘든데 옆에서 깔짝대ㅋㅋㅋㅋㅋ
@user-iq8db9er3i,할아버지 할머니세대 비틀즈 부모세대 퀸 우리세대 콜드플레이
@nicknamech,최고의 명곡이 아닌가 싶습니다. 가사 해석을 보며 들으니 더더욱 무슨 말인지 모르는 느낌이 너무 좋네요
@user-tm5kn3mk5v,노래가 안잊혀진다
@pulbak2597,왜 황석희 번역가님의 갓번역은 언급이없죠
@bookmakase,"아 정말 이거 볼때마다 코로나 이전이 너무 그리워 미치겠네ㅜㅜㅜ 언젠가 코로나가 끝이 나고 콘서트가서 꼭 다같이 떼창하고싶다,,, 나너우리 모두 정말 고생했다고ㅜㅜ"
@user-qf4zx4ey4v,진짜 멋있다..ㅠㅠㅠ
@nicoleseo1234,감동입니다
@prince_anchovy369,어이 자네.. 응 지금 스크롤 내리고 있는 당신..그래 자네..명곡을 알아보는 통찰력이 대단하시군
@cherish0135,이 노래 가사는 왕을 나타내는게 아니라 ㄹㅇ 청춘을 노래하는 느낌임  누구에게나 청춘은 빛났고 화려했으니까 할머니 할아버지가 되어서 지금들의 청춘들을 보면서 예전을 떠올리는거같음
@user-jr3wm1sx7f,이노래 정말 최고다!
@user-o7nt5ws3pz,여행 프로그램 단골 BGM  듣기만 해도 마음이 벅차고 가슴이 웅장해지는 느낌이라 방구석에서 화면으로 여행지 보면서 이 음악과 함께 들으면 현지에 가 있는 기분이 듬
@nostalgia4152,정시 원서접수하고 한참 긴장되고 힘들때 원하던 대학 합격 문자 통보 받고 마침 지나던 핸드폰 가게에서 이 노래가 흘러나오더라.. 가만히 멈춰서서 노래듣는데 어찌나 황홀하던지 나도 모르게 눈물이 나왔었지.. 추억이네 이젠
@user-pj8ll3vr6u,"지금은 꿈도 꿀수 없는 장면이다,,,"
@Yazu52b,콜드플레이는 진짜 전설이야
@gyeommu,콜드플레이 사랑해요
@Lilywhite710,나 이거 처음에 콜드플레이라는 영화인줄알고 네이버에 찾아봄;;;
